"","Year","state","total_sum"
"194","2001","Montana",74752
"195","2001","Nebraska",44401
"196","2001","Nevada",50549
"197","2001","New Hampshire",45727
"198","2001","New Jersey",39527
"199","2001","New Mexico",84874
"200","2001","New York",175967
"201","2001","North Carolina",289571
"202","2001","North Dakota",32105
"203","2001","Ohio",292159
"204","2001","Oklahoma",164126
"205","2001","Oregon",141295
"206","2001","Pennsylvania",509881
"207","2001","Puerto Rico",7095
"208","2001","Rhode Island",10233
"209","2001","South Carolina",132781
"210","2001","South Dakota",40861
"211","2001","Tennessee",230779
"212","2001","Texas",672746
"213","2001","Utah",67518
"214","2001","Vermont",20657
"215","2001","Virgin Islands",0
"216","2001","Virginia",196181
"217","2001","Washington",161380
"218","2001","West Virginia",138421
"219","2001","Wisconsin",181798
"220","2001","Wyoming",34454
"221","2002","Alabama",221008
"222","2002","Alaska",36793
"223","2002","Arizona",142260
"224","2002","Arkansas",153424
"225","2002","California",684390
"226","2002","Colorado",183754
"227","2002","Connecticut",93598
"228","2002","Delaware",16388
"229","2002","District of Columbia",7
"230","2002","Florida",288848
"231","2002","Georgia",285201
"232","2002","Guam",304
"233","2002","Hawaii",7807
"234","2002","Idaho",74062
"235","2002","Illinois",446138
"236","2002","Indiana",188235
"237","2002","Iowa",90358
"238","2002","Kansas",94110
"239","2002","Kentucky",229423
"240","2002","Louisiana",169580
"241","2002","Maine",49922
"242","2002","Mariana Islands",35
"243","2002","Maryland",78764
"244","2002","Massachusetts",94824
"245","2002","Michigan",353540
"246","2002","Minnesota",192392
"247","2002","Mississippi",149948
"248","2002","Missouri",197990
"249","2002","Montana",76322
"250","2002","Nebraska",43177
"251","2002","Nevada",47155
"252","2002","New Hampshire",49666
"253","2002","New Jersey",43318
"254","2002","New Mexico",80057
"255","2002","New York",160927
"256","2002","North Carolina",268916
"257","2002","North Dakota",31339
"258","2002","Ohio",297033
"259","2002","Oklahoma",159489
"260","2002","Oregon",137513
"261","2002","Pennsylvania",567702
"262","2002","Puerto Rico",8148
"263","2002","Rhode Island",9521
"264","2002","South Carolina",121976
"265","2002","South Dakota",44282
"266","2002","Tennessee",223048
"267","2002","Texas",664745
"268","2002","Utah",61710
"269","2002","Vermont",20483
"270","2002","Virgin Islands",1
"271","2002","Virginia",191789
"272","2002","Washington",193439
"273","2002","West Virginia",134846
"274","2002","Wisconsin",173779
"275","2002","Wyoming",33585
"276","2003","Alabama",225479
"277","2003","Alaska",37059
"278","2003","Arizona",145719
"279","2003","Arkansas",150249
"280","2003","California",524431
"281","2003","Colorado",181257
"282","2003","Connecticut",100567
"283","2003","Delaware",16361
"284","2003","District of Columbia",11
"285","2003","Florida",298181
"286","2003","Georgia",282218
"287","2003","Guam",379
"288","2003","Hawaii",7439
"289","2003","Idaho",74669
"290","2003","Illinois",515917
"291","2003","Indiana",183853
"292","2003","Iowa",95127
"293","2003","Kansas",97365
"294","2003","Kentucky",226869
"295","2003","Louisiana",175693
"296","2003","Maine",50897
"297","2003","Mariana Islands",6
"298","2003","Maryland",78270
"299","2003","Massachusetts",131395
"300","2003","Michigan",342161
"301","2003","Minnesota",229728
"302","2003","Mississippi",150877
"303","2003","Missouri",202865
"304","2003","Montana",80786
"305","2003","Nebraska",44758
"306","2003","Nevada",49432
"307","2003","New Hampshire",54724
"308","2003","New Jersey",41733
"309","2003","New Mexico",79140
"310","2003","New York",150831
"311","2003","North Carolina",264488
"312","2003","North Dakota",33393
"313","2003","Ohio",298632
"314","2003","Oklahoma",167551
"315","2003","Oregon",142960
"316","2003","Pennsylvania",515896
"317","2003","Puerto Rico",7906
"318","2003","Rhode Island",9660
"319","2003","South Carolina",121352
"320","2003","South Dakota",47683
"321","2003","Tennessee",219783
"322","2003","Texas",688275
"323","2003","Utah",70507
"324","2003","Vermont",19971
"325","2003","Virgin Islands",0
"326","2003","Virginia",200270
"327","2003","Washington",213916
"328","2003","West Virginia",131777
"329","2003","Wisconsin",188594
"330","2003","Wyoming",33184
"331","2004","Alabama",229997
"332","2004","Alaska",40504
"333","2004","Arizona",155719
"334","2004","Arkansas",158366
"335","2004","California",548843
"336","2004","Colorado",194191
"337","2004","Connecticut",100916
"338","2004","Delaware",16424
"339","2004","District of Columbia",14
"340","2004","Florida",318024
"341","2004","Georgia",232203
"342","2004","Guam",439
"343","2004","Hawaii",7298
"344","2004","Idaho",75553
"345","2004","Illinois",590417
"346","2004","Indiana",176520
"347","2004","Iowa",98517
"348","2004","Kansas",99007
"349","2004","Kentucky",234974
"350","2004","Louisiana",172421
"351","2004","Maine",52665
"352","2004","Mariana Islands",0
"353","2004","Maryland",77481
"354","2004","Massachusetts",112996
"355","2004","Michigan",342418
"356","2004","Minnesota",227846
"357","2004","Mississippi",152294
"358","2004","Missouri",209316
"359","2004","Montana",83545
"360","2004","Nebraska",48436
"361","2004","Nevada",54754
"362","2004","New Hampshire",56791
"363","2004","New Jersey",37376
"364","2004","New Mexico",81546
"365","2004","New York",160222
"366","2004","North Carolina",276480
"367","2004","North Dakota",34690
"368","2004","Ohio",327040
"369","2004","Oklahoma",173188
"370","2004","Oregon",149688
"371","2004","Pennsylvania",504813
"372","2004","Puerto Rico",7712
"373","2004","Rhode Island",10054
"374","2004","South Carolina",124153
"375","2004","South Dakota",50323
"376","2004","Tennessee",229401
"377","2004","Texas",672995
"378","2004","Utah",79967
"379","2004","Vermont",19490
"380","2004","Virgin Islands",0
"381","2004","Virginia",213062
"382","2004","Washington",203432
"383","2004","West Virginia",132846
"384","2004","Wisconsin",187097
"385","2004","Wyoming",35427
"386","2005","Alabama",235873
"387","2005","Alaska",44514
"388","2005","Arizona",176649
"389","2005","Arkansas",164001
"390","2005","California",611022
"391","2005","Colorado",206287
"392","2005","Connecticut",97599
"393","2005","Delaware",17121
"394","2005","District of Columbia",20
"395","2005","Florida",370645
