"","year","state","total_TOLL"
"191",2017,"Alabama",1400
"192",2017,"Alaska",139
"193",2017,"Arizona",587
"194",2017,"Arkansas",653
"195",2017,"California",3376
"196",2017,"Colorado",499
"197",2017,"Connecticut",382
"198",2017,"Delaware",297
"199",2017,"District of Columbia",440
"200",2017,"Florida",2751
"201",2017,"Georgia",1715
"202",2017,"Hawaii",28
"203",2017,"Idaho",81
"204",2017,"Illinois",4588
"205",2017,"Indiana",1144
"206",2017,"Iowa",300
"207",2017,"Kansas",416
"208",2017,"Kentucky",791
"209",2017,"Louisiana",1733
"210",2017,"Maine",69
"211",2017,"Maryland",1335
"212",2017,"Massachusetts",584
"213",2017,"Michigan",1140
"214",2017,"Minnesota",397
"215",2017,"Mississippi",917
"216",2017,"Missouri",1530
"217",2017,"Montana",74
"218",2017,"Nebraska",199
"219",2017,"Nevada",418
"220",2017,"New Hampshire",53
"221",2017,"New Jersey",938
"222",2017,"New Mexico",266
"223",2017,"New York",1439
"224",2017,"North Carolina",1709
"225",2017,"North Dakota",48
"226",2017,"Ohio",2217
"227",2017,"Oklahoma",633
"228",2017,"Oregon",269
"229",2017,"Pennsylvania",1823
"230",2017,"Rhode Island",90
"231",2017,"South Carolina",1186
"232",2017,"South Dakota",40
"233",2017,"Tennessee",1693
"234",2017,"Texas",2734
"235",2017,"Utah",180
"236",2017,"Vermont",20
"237",2017,"Virginia",1324
"238",2017,"Washington",582
"239",2017,"West Virginia",237
"240",2017,"Wisconsin",728
"241",2017,"Wyoming",22
"242",2018,"Alabama",354
"243",2018,"Alaska",30
"244",2018,"Arizona",158
"245",2018,"Arkansas",126
"246",2018,"California",736
"247",2018,"Colorado",140
"248",2018,"Connecticut",74
"249",2018,"Delaware",36
"250",2018,"District of Columbia",86
"251",2018,"Florida",646
"252",2018,"Georgia",331
"253",2018,"Hawaii",9
"254",2018,"Idaho",23
"255",2018,"Illinois",737
"256",2018,"Indiana",227
"257",2018,"Iowa",46
"258",2018,"Kansas",93
"259",2018,"Kentucky",202
"260",2018,"Louisiana",369
"261",2018,"Maine",11
"262",2018,"Maryland",242
"263",2018,"Massachusetts",102
"264",2018,"Michigan",310
"265",2018,"Minnesota",90
"266",2018,"Mississippi",242
"267",2018,"Missouri",343
"268",2018,"Montana",18
"269",2018,"Nebraska",42
"270",2018,"Nevada",117
"271",2018,"New Hampshire",11
"272",2018,"New Jersey",129
"273",2018,"New Mexico",61
"274",2018,"New York",217
"275",2018,"North Carolina",352
"276",2018,"North Dakota",10
"277",2018,"Ohio",416
"278",2018,"Oklahoma",136
"279",2018,"Oregon",70
"280",2018,"Pennsylvania",374
"281",2018,"Rhode Island",18
"282",2018,"South Carolina",281
"283",2018,"South Dakota",20
"284",2018,"Tennessee",308
"285",2018,"Texas",684
"286",2018,"Utah",43
"287",2018,"Vermont",7
"288",2018,"Virginia",259
"289",2018,"Washington",137
"290",2018,"West Virginia",57
"291",2018,"Wisconsin",164
"292",2018,"Wyoming",10
